lang	prod	text	ADJ==NOUN==PUNCT	NOUN==ADP==NOUN	VERB==NOUN==PUNCT	ADP==ADJ==NOUN	NOUN==NOUN==PUNCT	ADP==NOUN==PUNCT	VERB==ADJ==NOUN	DET==NOUN==PUNCT	NOUN==PUNCT==CCONJ	ADJ==NOUN==ADP	NOUN==PUNCT==PRON	ADP==DET==NOUN	ADV==ADJ==PUNCT	PRON==VERB==PUNCT	ADJ==ADJ==NOUN	VERB==DET==NOUN	NOUN==CCONJ==NOUN	NUM==NOUN==PUNCT	VERB==ADP==NOUN	AUX==ADJ==PUNCT	NOUN==ADJ==NOUN	AUX==ADV==ADJ	PUNCT==SCONJ==PRON	ADV==VERB==PUNCT	ADJ==NOUN==NOUN	lexvar	lemvar	posvar	richposvar	sentlgth	ADJ	ADP	ADV	AUX	CCONJ	DET	INTJ	NOUN	NUM	PART	PRON	PROPN	PUNCT	SCONJ	SYM	VERB	X	_
hr	prof	review_video-games_66_1.hr.conllu	0	1	0	1	0	2	1	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0.857	0.786	0.255	0.523	55	3	4	8	6	2	2	0	8	1	1	2	1	7	1	0	9	0	0
hr	prof	review_video-games_7_5.hr.conllu	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	2	0	0	1	0	0	0	0	0	0	0.927	0.78	0.293	0.717	41	5	3	3	4	1	3	0	7	0	1	3	0	1	3	0	7	0	0
ru	mt	MÜ_review_beauty_12_4.conllu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0.727	0.673	0.218	0.308	56	2	6	3	0	3	1	0	6	0	3	7	7	9	2	0	6	0	0
ru	mt	MÜ_review_beauty_14_5.conllu	2	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	0	1	0	0	0.71	0.677	0.194	0.36	63	4	5	6	2	5	2	0	14	0	1	3	0	11	2	0	7	0	0
ru	mt	MÜ_review_beauty_17_5.conllu	0	1	3	0	0	1	0	2	1	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0.722	0.667	0.204	0.366	57	2	3	4	0	2	4	0	9	0	3	4	2	9	0	0	12	0	0
ru	mt	MÜ_review_beauty_18_5.conllu	2	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0.678	0.655	0.224	0.346	58	5	5	4	0	1	2	0	14	1	1	3	3	10	2	0	7	0	0
ru	mt	MÜ_review_beauty_21_5.conllu	2	1	0	2	0	1	0	0	0	1	2	1	1	2	1	0	0	0	0	0	1	0	0	0	0	0.7	0.667	0.167	0.405	62	8	6	2	0	2	2	0	14	1	0	9	0	10	0	0	6	0	0
ru	mt	MÜ_review_beauty_25_5.conllu	3	0	0	1	0	0	1	1	1	0	1	0	1	1	0	1	0	1	1	1	0	0	0	0	0	0.836	0.782	0.255	0.447	55	6	4	4	1	4	1	0	6	2	2	7	1	9	1	0	7	0	0
ru	mt	MÜ_review_beauty_53_1.conllu	4	1	1	1	0	1	1	0	1	1	1	0	0	0	1	0	1	0	0	0	2	0	1	1	0	0.784	0.716	0.137	0.384	104	13	6	9	2	4	1	0	18	2	5	6	5	18	4	0	9	0	0
ru	mt	MÜ_review_beauty_58_1.conllu	1	0	0	1	1	0	0	2	1	0	0	0	0	1	0	1	1	0	1	0	0	0	1	0	0	0.686	0.614	0.186	0.457	71	7	3	1	1	4	3	0	15	0	4	10	2	12	1	0	7	0	0
ru	mt	MÜ_review_beauty_62_1.conllu	2	0	0	0	0	1	1	2	1	0	1	2	0	1	1	1	0	0	0	0	0	0	1	0	0	0.738	0.677	0.2	0.363	65	7	4	2	0	2	3	0	8	1	6	4	5	13	1	0	9	0	0
ru	mt	MÜ_review_beauty_6_5.conllu	4	0	0	1	1	0	0	2	1	0	1	1	2	1	2	0	0	1	0	0	2	0	0	0	0	0.756	0.705	0.167	0.333	79	15	6	3	1	3	4	0	18	1	2	4	0	16	2	0	3	0	0
ru	mt	MÜ_review_beauty_82_1.conllu	2	1	2	1	0	0	0	1	1	0	2	0	0	2	1	1	0	0	0	0	0	0	1	0	0	0.697	0.667	0.182	0.337	66	4	4	3	2	4	1	0	10	0	2	7	0	15	4	0	10	0	0
ru	mt	MÜ_review_beauty_87_1.conllu	0	0	1	0	0	0	1	3	0	1	1	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0.81	0.707	0.211	0.434	57	3	4	3	0	1	6	0	12	1	3	3	3	11	0	0	7	0	0
ru	mt	MÜ_review_beauty_88_1.conllu	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	2	1	0	0.672	0.582	0.179	0.409	67	12	0	1	2	1	3	0	8	0	5	7	6	12	3	0	7	0	0
ru	mt	MÜ_review_beauty_93_1.conllu	4	0	0	2	0	0	0	2	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	1	0	0.757	0.689	0.153	0.34	73	9	4	1	0	1	5	0	13	0	5	0	8	18	3	0	5	0	0
ru	mt	MÜ_review_books_11_5.conllu	2	1	0	0	0	1	1	1	0	0	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0.825	0.772	0.193	0.423	59	6	4	2	0	1	2	0	10	0	0	6	3	14	2	0	7	0	0
ru	mt	MÜ_review_books_14_4.conllu	1	2	1	0	0	2	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0.796	0.776	0.265	0.492	51	5	5	1	1	1	1	0	15	0	1	3	1	8	1	0	6	0	0
ru	mt	MÜ_review_books_16_1.conllu	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0.818	0.727	0.255	0.388	55	3	4	1	1	2	1	0	8	1	5	5	0	9	2	3	10	0	0
ru	mt	MÜ_review_books_172_1.conllu	1	1	1	0	1	2	0	1	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0.806	0.722	0.194	0.398	74	4	5	4	2	2	4	0	15	1	3	6	3	14	1	0	8	0	0
ru	mt	MÜ_review_books_18_4.conllu	4	0	0	1	0	1	1	1	2	0	1	1	0	2	0	0	0	1	2	0	0	0	1	0	0	0.713	0.632	0.161	0.37	92	6	7	7	1	3	3	0	14	1	1	7	4	17	4	0	12	0	0
ru	mt	MÜ_review_books_19_4.conllu	3	1	0	4	0	1	0	1	0	0	1	0	0	1	2	1	1	2	1	0	0	0	1	0	2	0.767	0.711	0.156	0.413	91	10	8	6	1	2	3	0	20	2	3	4	3	13	5	0	10	0	0
ru	mt	MÜ_review_books_1_4.conllu	1	2	0	1	0	2	0	1	0	1	1	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0.911	0.857	0.196	0.444	56	5	6	4	0	1	4	0	16	0	2	2	3	7	0	0	6	0	0
ru	mt	MÜ_review_books_233_1.conllu	1	2	1	0	0	0	1	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	1	0	0	0.828	0.766	0.219	0.416	64	3	6	1	1	3	4	0	13	2	1	7	2	10	1	0	10	0	0
ru	mt	MÜ_review_books_268_2.conllu	2	1	1	0	1	2	0	0	3	0	1	0	1	2	0	1	0	0	1	0	0	1	1	1	0	0.702	0.66	0.138	0.352	94	6	4	3	2	4	2	0	14	0	5	16	1	17	5	0	15	0	0
ru	mt	MÜ_review_books_302_2.conllu	4	1	1	2	2	0	2	1	1	1	3	0	0	0	2	1	0	0	0	0	0	0	0	1	1	0.736	0.692	0.121	0.358	93	10	6	5	0	4	4	0	18	0	3	8	0	16	2	0	15	0	0
ru	mt	MÜ_review_books_311_1.conllu	3	4	0	0	2	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0.747	0.671	0.152	0.352	79	3	9	5	3	2	2	0	21	0	2	5	4	12	0	0	11	0	0
ru	mt	MÜ_review_books_5_5.conllu	1	1	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	2	0	1	0.831	0.677	0.2	0.466	65	7	4	3	3	1	1	0	9	2	1	9	0	12	4	0	9	0	0
ru	mt	MÜ_review_books_77_2.conllu	1	1	1	0	1	2	1	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	3	1	1	0.649	0.532	0.156	0.333	78	5	4	2	0	2	2	0	11	0	1	15	1	15	8	0	11	0	0
ru	mt	MÜ_review_books_8_4.conllu	2	0	0	2	2	1	1	1	1	0	1	2	0	0	0	2	0	1	1	0	1	0	0	0	0	0.772	0.646	0.177	0.448	81	5	6	1	3	3	4	0	16	1	2	11	3	12	2	0	10	0	0
ru	mt	MÜ_review_cd+vinyl_107_2.conllu	1	1	0	2	0	1	0	2	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0.78	0.746	0.22	0.418	60	3	7	3	0	1	3	0	12	1	3	3	3	8	3	0	9	0	0
ru	mt	MÜ_review_cd+vinyl_110_1.conllu	1	2	0	2	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.785	0.738	0.215	0.344	65	6	11	1	0	1	2	1	13	4	2	2	4	11	2	0	5	0	0
ru	mt	MÜ_review_cd+vinyl_113_2.conllu	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0.809	0.75	0.176	0.305	69	5	4	5	0	0	1	0	17	6	1	2	7	15	2	0	3	0	0
ru	mt	MÜ_review_cd+vinyl_12_5.conllu	1	1	0	1	1	3	0	1	0	0	1	1	0	0	0	0	0	0	3	0	0	0	1	0	1	0.825	0.841	0.217	0.459	61	3	8	2	1	0	3	0	13	4	0	4	4	9	3	1	5	0	0
ru	mt	MÜ_review_cd+vinyl_152_2.conllu	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0.778	0.698	0.19	0.364	63	4	5	3	0	3	3	0	6	0	4	5	9	12	1	0	8	0	0
