lang	prod	text	ADJ==NOUN==PUNCT	NOUN==ADP==NOUN	VERB==NOUN==PUNCT	ADP==ADJ==NOUN	NOUN==NOUN==PUNCT	ADP==NOUN==PUNCT	VERB==ADJ==NOUN	DET==NOUN==PUNCT	NOUN==PUNCT==CCONJ	ADJ==NOUN==ADP	NOUN==PUNCT==PRON	ADP==DET==NOUN	ADV==ADJ==PUNCT	PRON==VERB==PUNCT	ADJ==ADJ==NOUN	VERB==DET==NOUN	NOUN==CCONJ==NOUN	NUM==NOUN==PUNCT	VERB==ADP==NOUN	AUX==ADJ==PUNCT	NOUN==ADJ==NOUN	AUX==ADV==ADJ	PUNCT==SCONJ==PRON	ADV==VERB==PUNCT	ADJ==NOUN==NOUN	lexical variety	lemma variety	POS variety	richPOS variety	length	ADJ	ADP	ADV	AUX	CCONJ	DET	INTJ	NOUN	NUM	PART	PRON	PROPN	PUNCT	SCONJ	SYM	VERB	X	_
hr	mt	OnlineB_review_books_8_4.conllu	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0.74	0.644	0.205	0.455	73	4	3	2	13	3	4	0	14	1	1	3	2	9	1	0	11	2	0
hr	mt	OnlineB_review_cd+vinyl_107_2.conllu	1	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0.839	0.732	0.232	0.6	56	6	5	2	8	1	3	0	12	1	0	2	2	5	3	0	6	0	0
hr	mt	OnlineB_review_cd+vinyl_110_1.conllu	1	0	0	2	2	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.836	0.803	0.23	0.5	61	6	8	2	3	1	2	1	13	4	0	1	4	10	1	0	5	0	0
hr	mt	OnlineB_review_cd+vinyl_113_2.conllu	2	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0.677	0.629	0.194	0.338	62	6	7	7	3	0	1	0	18	2	1	0	2	10	0	0	1	4	0
hr	mt	OnlineB_review_cd+vinyl_12_5.conllu	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.891	0.818	0.236	0.529	55	4	4	4	5	0	5	0	7	2	0	1	4	7	2	0	6	4	0
hr	mt	OnlineB_review_cd+vinyl_152_2.conllu	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.804	0.732	0.232	0.427	57	3	3	3	4	5	4	0	10	0	0	1	3	9	2	0	6	3	0
hr	mt	OnlineB_review_cd+vinyl_156_2.conllu	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0.836	0.745	0.218	0.486	56	4	3	3	4	4	4	0	12	0	0	2	2	9	2	0	6	0	0
hr	mt	OnlineB_review_cd+vinyl_159_2.conllu	2	0	2	0	1	0	1	2	1	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0.845	0.784	0.144	0.403	97	5	4	8	5	3	8	0	17	2	4	6	3	13	5	0	14	0	0
hr	mt	OnlineB_review_cd+vinyl_164_1.conllu	2	1	0	0	0	1	1	0	1	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0.898	0.733	0.186	0.541	59	9	2	5	10	4	3	0	10	0	0	0	2	10	1	0	3	0	0
hr	mt	OnlineB_review_cd+vinyl_16_5.conllu	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0.648	0.602	0.159	0.333	88	3	7	7	5	4	3	1	8	0	1	6	5	16	5	0	17	0	0
hr	mt	OnlineB_review_cd+vinyl_17_5.conllu	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0.837	0.796	0.245	0.55	49	6	3	3	4	2	3	0	9	0	0	1	4	6	3	0	5	0	0
hr	mt	OnlineB_review_cd+vinyl_23_5.conllu	0	1	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0.744	0.63	0.163	0.438	80	5	6	6	11	5	2	1	13	1	0	9	0	8	2	0	11	0	0
hr	mt	OnlineB_review_cd+vinyl_25_5.conllu	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0.77	0.672	0.213	0.52	61	4	2	1	6	4	9	0	10	0	1	4	2	8	1	0	9	0	0
hr	mt	OnlineB_review_cd+vinyl_7_5.conllu	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	1	0.75	0.65	0.217	0.405	60	9	4	4	6	2	6	0	8	1	0	0	2	8	2	0	1	7	0
hr	mt	OnlineB_review_cd+vinyl_8_5.conllu	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0.714	0.651	0.175	0.423	63	3	4	4	12	6	3	0	7	0	0	5	0	5	4	0	10	0	0
hr	mt	OnlineB_review_cell-phones+accessories_102_1.conllu	3	2	0	0	0	1	1	1	1	1	0	0	1	0	1	1	0	0	1	1	0	0	0	0	1	0.638	0.562	0.135	0.367	104	13	4	3	9	4	5	2	17	0	4	7	7	13	4	0	12	0	0
hr	mt	OnlineB_review_cell-phones+accessories_105_2.conllu	3	0	1	2	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.778	0.765	0.185	0.437	84	7	8	5	3	5	1	0	11	1	3	4	11	11	4	0	6	1	0
hr	mt	OnlineB_review_cell-phones+accessories_117_1.conllu	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0.758	0.694	0.197	0.425	61	1	4	8	7	3	3	0	11	4	0	1	0	6	2	0	11	0	0
hr	mt	OnlineB_review_cell-phones+accessories_127_1.conllu	2	1	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.706	0.647	0.216	0.443	51	5	3	4	10	2	2	0	8	0	0	3	0	7	1	0	6	0	0
hr	mt	OnlineB_review_cell-phones+accessories_12_5.conllu	0	4	2	1	2	0	1	0	0	3	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0.694	0.681	0.167	0.395	72	5	7	4	5	4	3	1	20	0	1	0	4	9	0	0	9	0	0
