textid	register	transl-id	status	study	studyyear	experience	age	nativelang	gender
dailymail.co.uk.298602	news	pr01	prof	NA	NA	5	28	HR	m
euronews-en.153797	news	pr01	prof	NA	NA	5	28	HR	m
gateway-zh.135	news	pr01	prof	NA	NA	5	28	HR	m
nytimes.184862	news	pr01	prof	NA	NA	5	28	HR	m
reuters.218921	news	pr01	prof	NA	NA	5	28	HR	m
review_beauty_12_4	review	pr01	prof	NA	NA	5	28	HR	m
review_beauty_14_5	review	pr01	prof	NA	NA	5	28	HR	m
review_beauty_17_5	review	pr01	prof	NA	NA	5	28	HR	m
review_beauty_88_1	review	pr01	prof	NA	NA	5	28	HR	m
review_books_14_4	review	pr01	prof	NA	NA	5	28	HR	m
review_books_16_1	review	pr01	prof	NA	NA	5	28	HR	m
review_books_172_1	review	pr01	prof	NA	NA	5	28	HR	m
review_books_1_4	review	pr01	prof	NA	NA	5	28	HR	m
review_cd+vinyl_113_2	review	pr01	prof	NA	NA	5	28	HR	m
review_cd+vinyl_12_5	review	pr01	prof	NA	NA	5	28	HR	m
review_cd+vinyl_152_2	review	pr01	prof	NA	NA	5	28	HR	m
review_cell-phones+accessories_102_1	review	pr01	prof	NA	NA	5	28	HR	m
review_cell-phones+accessories_117_1	review	pr01	prof	NA	NA	5	28	HR	m
review_cell-phones+accessories_127_1	review	pr01	prof	NA	NA	5	28	HR	m
review_cell-phones+accessories_12_5	review	pr01	prof	NA	NA	5	28	HR	m
review_grocery+gourmet-food_11_5	review	pr01	prof	NA	NA	5	28	HR	m
review_grocery+gourmet-food_340_1	review	pr01	prof	NA	NA	5	28	HR	m
review_grocery+gourmet-food_355_1	review	pr01	prof	NA	NA	5	28	HR	m
review_grocery+gourmet-food_356_1	review	pr01	prof	NA	NA	5	28	HR	m
review_health+care_127_1	review	pr01	prof	NA	NA	5	28	HR	m
review_health+care_13_5	review	pr01	prof	NA	NA	5	28	HR	m
review_health+care_14_5	review	pr01	prof	NA	NA	5	28	HR	m
review_home+kitchen_10_5	review	pr01	prof	NA	NA	5	28	HR	m
review_home+kitchen_12_5	review	pr01	prof	NA	NA	5	28	HR	m
review_home+kitchen_145_1	review	pr01	prof	NA	NA	5	28	HR	m
review_home+kitchen_185_1	review	pr01	prof	NA	NA	5	28	HR	m
review_movies+TV_187_1	review	pr01	prof	NA	NA	5	28	HR	m
